alpha,tau_m,PM_deg
0.2428205128205128,0.05,5.980544986402666
0.2428205128205128,0.06153846153846154,4.398054058395346
0.2669230769230769,0.06153846153846154,6.335127211020662
0.2669230769230769,0.07307692307692308,5.237360483411212
0.2669230769230769,0.08461538461538462,4.44345010781878
0.291025641025641,0.08461538461538462,6.098121354574452
0.291025641025641,0.09615384615384616,5.459253667381358
0.3151282051282051,0.09615384615384616,6.88521604355703
0.291025641025641,0.1076923076923077,4.955299967864423
0.3151282051282051,0.1076923076923077,6.340463285148616
0.291025641025641,0.11923076923076924,4.547770084485943
0.3151282051282051,0.11923076923076924,5.894541190229912
0.291025641025641,0.13076923076923078,4.211434672770892
0.3151282051282051,0.13076923076923078,5.522224603124801
0.33923076923076917,0.13076923076923078,6.678867094186662
0.3151282051282051,0.1423076923076923,5.206219442140659
0.33923076923076917,0.1423076923076923,6.3311385275381
0.3151282051282051,0.15384615384615385,4.934276934789146
0.33923076923076917,0.15384615384615385,6.0297339403829735
0.3151282051282051,0.1653846153846154,4.697479824759588
0.33923076923076917,0.1653846153846154,5.765518255206606
0.3633333333333333,0.1653846153846154,6.710423991791432
0.3151282051282051,0.1769230769230769,4.489181593001234
0.33923076923076917,0.1769230769230769,5.53164540128388
0.3633333333333333,0.1769230769230769,6.452997862283734
0.3151282051282051,0.18846153846153846,4.30432624779535
0.33923076923076917,0.18846153846153846,5.322879864893766
0.3633333333333333,0.18846153846153846,6.2222942959029535
0.33923076923076917,0.2,5.135146492131721
0.3633333333333333,0.2,6.01407056962368
0.3874358974358974,0.2,6.79518680907054
0.33923076923076917,0.21153846153846156,4.965223668796284
0.3633333333333333,0.21153846153846156,5.824959095004653
0.3874358974358974,0.21153846153846156,6.5885615214291136
0.33923076923076917,0.22307692307692306,4.810529246655612
0.3633333333333333,0.22307692307692306,5.652250342297579
0.3874358974358974,0.22307692307692306,6.399445081356308
0.33923076923076917,0.23461538461538461,4.668968039290213
0.3633333333333333,0.23461538461538461,5.493737686461204
0.3874358974358974,0.23461538461538461,6.225521706824159
0.41153846153846146,0.23461538461538461,6.879298830465194
0.33923076923076917,0.24615384615384617,4.5388211429841245
0.3633333333333333,0.24615384615384617,5.347604441119827
0.3874358974358974,0.24615384615384617,6.0648796418193065
0.41153846153846146,0.24615384615384617,6.7054511974989275
0.33923076923076917,0.2576923076923077,4.4186642613997
0.3633333333333333,0.2576923076923077,5.212340232829968
0.3874358974358974,0.2576923076923077,5.91592536272708
0.41153846153846146,0.2576923076923077,6.544052250636803
0.33923076923076917,0.2692307692307692,4.307306519479031
0.3633333333333333,0.2692307692307692,5.086678161509202
0.3874358974358974,0.2692307692307692,5.777318943758088
0.41153846153846146,0.2692307692307692,6.393692552313386
0.33923076923076917,0.28076923076923077,4.203743996465784
0.3633333333333333,0.28076923076923077,4.9695469351897845
0.3874358974358974,0.28076923076923077,5.647924702299697
0.41153846153846146,0.28076923076923077,6.253175364227149
0.4356410256410256,0.28076923076923077,6.796725370534176
0.3633333333333333,0.2923076923076923,4.860033957416144
0.3874358974358974,0.2923076923076923,5.526773046746735
0.41153846153846146,0.2923076923076923,6.121477238307856
0.4356410256410256,0.2923076923076923,6.65543276803474
0.3633333333333333,0.3038461538461538,4.757356537555735
0.3874358974358974,0.3038461538461538,5.4130306515007245
0.41153846153846146,0.3038461538461538,5.997717151401931
0.4356410256410256,0.3038461538461538,6.522566010925021
0.3633333333333333,0.3153846153846154,4.660839202386862
0.3874358974358974,0.3153846153846154,5.305976900506298
0.41153846153846146,0.3153846153846154,5.88113208337888
0.4356410256410256,0.3153846153846154,6.397322358699873
0.4597435897435897,0.3153846153846154,6.863430933875715
0.3633333333333333,0.3269230769230769,4.569895644304639
0.3874358974358974,0.3269230769230769,5.204985104727928
